,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
375,Olinda,75,EC,1559668794,69,-2.03,-79.75,82.4,5.82
376,Avera,75,US,1559668795,58,33.19,-82.53,90.0,4.7
377,Uttaradit,79,TH,1559668796,58,17.63,100.1,90.0,2.55
378,Belaya Gora,0,RU,1559668797,46,68.54,146.19,39.98,11.18
379,Comodoro Rivadavia,0,AR,1559668799,45,-45.87,-67.48,64.4,10.29
380,Waipawa,100,NZ,1559668800,85,-39.94,176.59,48.99,2.77
381,Mabaruma,41,GY,1559668801,85,8.2,-59.78,82.46,5.55
382,Fare,0,PF,1559668802,71,-16.7,-151.02,80.48,11.23
383,Ust-Maya,0,RU,1559668803,74,60.42,134.54,49.88,0.13
384,Lata,33,IN,1559668804,55,30.78,78.62,36.38,9.86
385,Boa Vista,40,BR,1559668525,62,2.82,-60.67,87.8,6.93
386,Karratha,0,AU,1559668808,20,-20.74,116.85,65.54,14.88
387,Plouzane,75,FR,1559668809,72,48.38,-4.62,61.0,14.99
388,Codrington,2,AU,1559668810,62,-28.95,153.24,53.6,9.17
389,Cacapava do Sul,3,BR,1559668811,72,-30.51,-53.49,62.48,4.12
390,Castelbuono,0,IT,1559668812,78,37.93,14.09,75.0,3.0
391,Tocopilla,98,CL,1559668814,98,-22.09,-70.2,60.5,9.35
392,Pontianak,40,ID,1559668815,88,-0.02,109.34,77.0,8.52
393,Stranda,40,NO,1559668816,67,62.31,6.93,59.0,9.17
394,Monteiro,41,BR,1559668520,50,-7.89,-37.12,79.94,7.56
395,Morrope,20,PE,1559668818,29,-6.54,-80.02,66.2,12.75
396,Liepaja,0,LV,1559668819,47,56.52,21.02,80.6,4.7
397,Mogok,0,MM,1559668821,96,22.92,96.51,66.98,3.42
398,Moerai,74,PF,1559668822,79,-22.43,-151.33,75.62,5.26
399,Mukhen,60,RU,1559668823,86,48.19,136.14,51.68,1.19
400,Araouane,12,ML,1559668824,6,18.9,-3.53,102.26,8.34
401,Esperance,75,TT,1559668825,70,10.24,-61.45,87.8,17.22
402,Te Anau,59,NZ,1559668826,96,-45.41,167.72,31.16,2.62
403,Langsa,100,ID,1559668828,97,4.47,97.97,71.48,2.39
404,Paris,94,FR,1559668643,82,48.86,2.35,73.99,6.93
405,Vila Franca do Campo,40,PT,1559668830,52,37.72,-25.43,66.2,12.75
406,Zyryanka,76,RU,1559668831,45,65.73,150.89,42.68,12.08
407,Arusha,20,TZ,1559668833,78,-3.37,36.69,71.6,5.82
408,Vila Velha,20,BR,1559668834,62,-3.71,-38.6,86.0,17.22
409,Manica,20,MZ,1559668835,77,-18.94,32.88,60.8,6.93
410,Ponta Delgada,40,PT,1559668836,52,37.73,-25.67,66.2,12.75
411,Spokane,1,US,1559668607,35,47.66,-117.42,68.0,10.29
412,Cadillac,40,US,1559668838,41,44.25,-85.4,75.99,14.99
413,Moshi,20,TZ,1559668840,78,-3.36,37.34,71.6,5.82
414,Maumere,85,ID,1559668841,77,-8.63,122.22,78.86,7.47
415,Talavera de la Reina,14,ES,1559668691,37,39.96,-4.83,75.08,14.97
416,Hurricane,1,US,1559668843,27,37.18,-113.29,82.0,3.36
417,Payo,81,ID,1559668844,92,-3.75,103.64,69.86,2.59
418,Hofn,100,IS,1559668846,85,64.25,-15.21,31.88,23.38
419,Playas,28,EC,1559668847,60,-2.64,-80.39,83.18,12.66
420,Muros,40,ES,1559668848,76,42.77,-9.06,64.0,5.82
421,Manuk Mangkaw,100,PH,1559668849,72,4.8,119.85,84.98,10.51
422,Oussouye,75,SN,1559668850,78,12.49,-16.54,86.0,6.93
423,Klaksvik,100,FO,1559668851,100,62.23,-6.59,44.6,23.04
424,Clonakilty,75,IE,1559668853,71,51.62,-8.87,55.99,19.46
425,Alugan,23,PH,1559668854,86,12.22,125.48,79.4,2.89
426,Quelimane,75,MZ,1559668855,78,-17.88,36.89,75.2,4.7
427,Kenai,20,US,1559668856,76,60.55,-151.26,61.0,8.05
428,Moron,100,VE,1559668857,36,10.49,-68.2,97.94,7.05
429,Conner,96,PH,1559668859,97,17.8,121.32,69.5,2.53
430,Yuncheng,100,CN,1559668860,62,35.03,111.0,75.26,19.04
431,Arlit,25,NE,1559668861,20,18.74,7.39,101.36,13.47
432,Epe,0,DE,1559668862,61,52.18,7.04,82.0,9.17
433,Sundsvall,0,SE,1559668838,30,62.39,17.31,72.0,8.05
434,Road Town,40,VG,1559668864,70,18.42,-64.62,87.8,9.17
435,Huilong,100,CN,1559668866,74,28.89,110.18,71.66,1.72
436,Clyde River,5,CA,1559668867,70,70.47,-68.59,42.8,11.41
437,Mareeba,40,AU,1559668868,52,-16.99,145.42,66.2,16.11
438,Lumeje,49,AO,1559668869,41,-11.56,20.78,62.66,5.41
439,Barra do Garcas,0,BR,1559668870,58,-15.89,-52.26,82.4,11.41
440,Toledo,75,PH,1559668872,83,10.38,123.64,78.8,5.82
441,Ciomas,70,ID,1559668873,94,-6.85,108.3,67.16,2.84
442,Phangnga,20,TH,1559668874,74,8.45,98.53,84.2,4.7
443,Roald,40,NO,1559668875,67,62.58,6.12,59.0,9.17
444,Bathsheba,75,BB,1559668876,62,13.22,-59.52,87.8,19.46
445,Mamallapuram,40,IN,1559668878,66,12.63,80.17,91.4,4.7
446,Sassandra,50,CI,1559668879,76,4.95,-6.09,79.22,6.04
447,Serebryansk,2,KZ,1559668880,75,49.68,83.3,50.6,3.83
448,Mulchen,90,CL,1559668881,100,-37.72,-72.23,53.6,12.57
449,Anadyr,0,RU,1559668882,81,64.73,177.51,48.0,6.71
450,San Martin,20,US,1559668884,77,37.08,-121.61,75.99,4.7
451,Wanning,20,AT,1559668885,37,48.64,13.53,82.4,6.93
452,Dukat,72,RS,1559668886,80,42.44,22.31,64.0,1.01
453,Mount Isa,100,AU,1559668887,43,-20.73,139.49,50.0,10.29
454,Khani,40,GE,1559668889,74,41.96,42.96,78.8,4.7
455,Sorada,98,IN,1559668890,81,19.76,84.43,77.42,5.3
456,Sao Desiderio,0,BR,1559668643,26,-12.36,-44.97,89.66,5.03
457,Tezu,1,IN,1559668892,61,27.93,96.16,75.26,3.78
458,Gidam,81,IN,1559668893,43,18.98,81.4,92.0,8.43
459,Nago,40,IT,1559668846,48,45.88,10.89,86.0,4.7
460,Pangnirtung,40,CA,1559668895,70,66.15,-65.72,42.8,13.87
461,Areosa,40,PT,1559668897,72,41.72,-8.86,66.99,12.75
462,Gawler,75,AU,1559668898,81,-34.6,138.75,48.99,4.7
463,Vaitape,0,PF,1559668899,73,-16.52,-151.75,81.02,13.51
464,Hualmay,96,PE,1559668900,90,-11.1,-77.61,62.12,10.96
465,Soyo,20,AO,1559668901,78,-6.13,12.37,78.8,6.93
466,Stokmarknes,75,NO,1559668903,93,68.56,14.91,48.2,6.93
467,Colares,20,PT,1559668904,59,38.8,-9.45,68.0,18.34
468,Yatou,75,CM,1559668905,79,3.63,9.81,84.2,5.82
469,Khasan,40,RU,1559668906,97,42.43,130.64,50.24,1.59
470,Lidkoping,19,SE,1559668908,52,58.51,13.16,66.2,6.93
471,Mount Gambier,90,AU,1559668909,93,-37.83,140.78,46.4,4.7
472,Akdepe,0,TM,1559668910,25,42.05,59.39,93.2,7.94
473,Grindavik,75,IS,1559668911,61,63.84,-22.43,50.0,24.16
474,Yantikovo,0,RU,1559668913,33,55.52,47.78,62.6,11.18
475,Iquitos,90,PE,1559668650,94,-3.75,-73.25,77.0,6.93
476,Sitka,89,US,1559668915,39,37.17,-99.65,86.42,3.76
477,Bandarbeyla,100,SO,1559668916,57,9.49,50.81,85.7,10.71
478,Taoudenni,0,ML,1559668918,6,22.68,-3.98,103.52,16.49
479,Baykit,75,RU,1559668919,79,61.68,96.39,48.62,3.51
480,Diffa,60,NE,1559668920,12,13.32,12.61,105.32,7.0
481,Kiama,40,AU,1559668921,76,-34.67,150.86,52.0,13.87
482,Utete,0,TZ,1559668922,67,-7.99,38.76,73.46,3.87
483,Omsukchan,100,RU,1559668923,92,62.53,155.8,42.14,2.21
484,Lavrentiya,55,RU,1559668924,64,65.58,-170.99,48.98,2.39
485,Meadow Lake,20,CA,1559668926,39,54.13,-108.44,64.4,17.22
486,Mahibadhoo,100,MV,1559668676,75,3.78,72.97,84.08,18.79
487,Peterhead,75,AU,1559668928,81,-34.83,138.5,48.99,4.7
488,Basco,1,US,1559668929,65,40.33,-91.2,80.01,11.41
489,Fuyang,11,CN,1559668930,94,30.05,119.96,77.0,4.47
490,Beberibe,20,BR,1559668932,62,-4.18,-38.13,86.0,17.22
491,Caucaia,20,BR,1559668933,62,-3.73,-38.66,86.0,17.22
492,Tiznit,0,MA,1559668934,89,29.7,-9.73,67.7,15.77
493,Kattivakkam,40,IN,1559668935,66,13.22,80.32,91.4,4.7
494,Cap-aux-Meules,75,CA,1559668936,67,47.38,-61.86,57.2,6.93
495,Kamien Pomorski,0,PL,1559668938,57,53.97,14.77,79.0,9.17
496,Paracuru,20,BR,1559668939,62,-3.41,-39.03,86.0,17.22
497,Mae Sai,20,MM,1559668940,78,20.44,99.89,82.4,3.36
498,Prince Rupert,90,CA,1559668864,93,54.32,-130.32,50.0,8.05
499,Goroka,81,PG,1559668942,95,-6.07,145.39,55.1,1.39
500,Ambulu,100,ID,1559668943,85,-8.35,113.61,78.86,8.75
501,Shubarkuduk,16,KZ,1559668945,51,49.15,56.49,59.96,12.86
502,Manggar,84,ID,1559668946,86,-2.88,108.27,77.78,2.95
503,Vostok,79,RU,1559668947,92,46.45,135.83,47.54,3.0
504,Morondava,1,MG,1559668948,68,-20.3,44.28,80.66,13.42
505,Hazaribag,43,IN,1559668949,59,23.98,85.35,86.96,10.65
506,Halapitan,94,PH,1559668950,68,7.95,125.32,75.0,0.45
507,Skjervoy,75,NO,1559668925,62,70.03,20.97,53.6,6.93
508,Ormara,5,PK,1559668953,29,25.21,64.64,95.96,11.1
509,Yangambi,100,CD,1559668954,76,0.77,24.47,74.9,3.49
510,Saint-Pierre,0,FR,1559668955,54,48.95,4.24,87.8,11.41
511,Hilton Head Island,75,US,1559668956,66,32.16,-80.75,89.6,11.41
512,Liptovsky Mikulas,40,SK,1559668958,60,49.08,19.62,75.99,5.82
513,Igrim,100,RU,1559668959,91,63.19,64.42,40.52,16.89
514,Batagay-Alyta,96,RU,1559668960,79,67.8,130.41,34.94,7.16
515,Miles City,1,US,1559668961,49,46.41,-105.84,73.0,10.29
516,Talmenka,20,RU,1559668962,62,53.82,83.56,59.0,2.24
517,Hamilton,90,CA,1559668862,55,43.26,-79.87,64.0,12.75
518,Pitimbu,20,BR,1559668965,62,-7.47,-34.81,86.0,16.11
519,Antofagasta,75,CL,1559668749,59,-23.65,-70.4,62.6,4.7
520,Saint-Felicien,75,CA,1559668967,43,48.65,-72.45,51.8,10.29
521,Kollam,40,IN,1559668969,88,8.88,76.6,82.4,3.36
522,Parana,90,BR,1559668970,83,-7.52,-72.89,78.8,5.82
523,Grandola,75,PT,1559668971,56,38.18,-8.57,71.6,17.22
524,Bambanglipuro,85,ID,1559668973,85,-7.95,110.28,79.58,10.49
525,Cayenne,75,GF,1559668843,70,4.94,-52.33,86.0,11.41
526,Ales,0,FR,1559668976,44,44.13,4.08,79.0,12.75
527,Sulangan,100,PH,1559668977,72,11.14,123.72,84.8,6.69
528,Montrose,75,AU,1559668978,93,-37.81,145.34,53.01,12.75
529,Panzhihua,0,CN,1559668980,59,26.59,101.72,69.32,3.71
530,Tautira,20,PF,1559668981,69,-17.73,-149.15,75.2,6.93
531,Puerto Escondido,100,MX,1559668982,47,15.86,-97.07,92.72,5.23
532,Tukums,0,LV,1559668984,44,56.97,23.17,78.8,10.29
533,Narsaq,20,GL,1559668985,25,60.91,-46.05,60.8,10.29
534,Partizanskoye,3,UA,1559668986,76,44.83,34.08,70.04,3.74
535,Sechura,100,PE,1559668987,76,-5.56,-80.82,70.94,14.2
536,Xapuri,75,BR,1559668989,69,-10.65,-68.5,78.8,5.82
537,Sisimiut,0,GL,1559668739,61,66.94,-53.67,42.5,13.91
538,Sasovo,0,RU,1559668991,62,54.35,41.93,56.18,1.34
539,Bonthe,80,SL,1559668992,75,7.53,-12.5,81.92,8.61
540,Ocampo,42,PH,1559668993,78,13.56,123.37,80.3,4.52
541,Trinidad,0,UY,1559668997,59,-33.52,-56.9,62.6,10.29
542,Namibe,90,AO,1559668999,88,-15.19,12.15,68.0,11.41
543,Tyumentsevo,36,RU,1559669000,85,53.32,81.5,54.38,0.47
544,Samarai,100,PG,1559669001,96,-10.62,150.67,73.64,6.13
545,Christchurch,90,NZ,1559669003,100,-43.53,172.64,33.01,2.24
546,Timbuktu,48,ML,1559669004,5,16.77,-3.01,102.62,4.83
547,Katobu,100,ID,1559669005,95,-4.94,122.53,75.08,3.09
548,Beringovskiy,22,RU,1559669006,76,63.05,179.32,46.46,9.95
549,Paraiso,5,MX,1559669007,49,24.01,-104.61,75.99,5.86
